Paul Ricard;Final Classification;;;;;;;;;;
Date / Time:;19.10.2022 / 09:14;;;;;;;;;;
Session:;Race;Laps:;27;;;;
Fastest lap:;Cameron Searle;1:32.513;;;;;;
Pos;Name;RaceNumber;Team;Gap;BestLapTime;Pitstops;Pen. in-game;Pen. stewards;Points;GridPos;Status;
1;Cameron Searle;2;Williams;45:50.651;1:32.513;2;0;0;16;1;finished
2;Kent;88;Alfa Romeo;+22.472;1:35.078;2;0;0;12;4;finished
3;Alessio Banezzi;13;Mercedes;+24.012;1:34.728;2;0;0;10;3;finished
4;Cuh;73;Ferrari;+54.516;1:35.492;3;3;0;6;9;finished
5;rikimaru;2;Red Bull;+56.649;1:35.491;2;0;0;8;8;finished
6;Traumatized;23;Ferrari;+1:05.154;1:34.929;2;18;0;5;7;finished
7;atsuhh;2;Aston Martin;+1:15.920;1:35.582;2;11;0;4;10;finished
8;probablyOwen;28;Alpine;+10 Laps;1:35.318;4;0;0;0;11;disqualified
9;Bxn_74;74;Mercedes;+1 Lap;1:35.379;5;16;0;3;5;finished
10;Callummm23;23;McLaren;+5 Laps;1:35.671;3;6;0;0;6;disqualified
11;Myles;7;Alfa Romeo;+24 Laps;1:35.161;0;3;0;0;2;disqualified
