Austin;Final Classification;;;;;;;;;;
Date / Time:;26.10.2022 / 09:33;;;;;;;;;;
Session:;Race;Laps:;28;;;;
Fastest lap:;Cameron Searle;1:36.107;;;;;;
Pos;Name;RaceNumber;Team;Gap;BestLapTime;Pitstops;Pen. in-game;Pen. stewards;Points;GridPos;Status;
1;Cameron Searle;2;Williams;48:08.774;1:36.107;1;0;0;16;2;finished
2;probablyOwen;28;Alpine;+20.279;1:37.338;1;3;0;12;4;finished
3;Kr15-D1MOV;39;AlphaTauri;+22.855;1:37.291;2;3;10;8;1;finished
4;Traumatized;23;Ferrari;+25.610;1:38.421;1;3;0;10;10;finished
5;Cuh;73;Ferrari;+53.015;1:36.918;1;6;0;6;7;finished
6;Grima_19;19;Red Bull;+1:08.944;1:39.976;1;0;0;5;9;finished
7;Kent;88;Alfa Romeo;+1:25.224;1:38.967;1;3;0;4;11;finished
8;atsuhh;2;Aston Martin;+1:42.176;1:37.614;2;6;0;3;8;finished
9;rikimaru;2;Red Bull;+1 Lap;1:39.908;1;0;0;0;5;disqualified
10;Callummm23;23;McLaren;+9 Laps;1:38.215;3;3;0;0;6;disqualified
11;Alessio Banezzi;13;Mercedes;+27 Laps;1:41.214;0;0;0;0;3;disqualified
